date,field_id,crop_type,yield,irrigation,fertilizer_used
2020-01-31,1,oliviers,1731.0505622304713,aspersion,True
2020-02-29,1,oliviers,1794.2731723038996,goutte-à-goutte,True
2020-03-31,1,amandiers,1012.5255868003846,aspersion,False
2020-04-30,1,oliviers,1814.5059085397113,goutte-à-goutte,True
2020-05-31,1,poivrons,777.3456854894274,goutte-à-goutte,True
2020-06-30,1,tomates,827.6075677831582,goutte-à-goutte,True
2020-07-31,1,oliviers,1464.313602996785,goutte-à-goutte,True
2020-08-31,1,figuiers,755.4982503456232,aspersion,True
2020-09-30,1,amandiers,1456.0558146485776,goutte-à-goutte,True
2020-10-31,1,oliviers,996.0498269229647,aspersion,True
2020-11-30,1,oliviers,1019.2105534656307,aucune,True
2020-12-31,1,amandiers,1061.3216719243053,aspersion,True
2021-01-31,1,oliviers,1887.9340222756769,aspersion,True
2021-02-28,1,figuiers,786.6365993217369,aucune,True
2021-03-31,1,oliviers,1563.6877161095158,aspersion,True
2021-04-30,1,oliviers,1609.9352564049318,aucune,True
2021-05-31,1,poivrons,771.7949518981369,goutte-à-goutte,False
2021-06-30,1,amandiers,1370.1518515149355,goutte-à-goutte,True
2021-07-31,1,tomates,918.2082151690879,aspersion,False
2021-08-31,1,amandiers,943.1184300390329,aspersion,True
2021-09-30,1,oliviers,630.7360772612741,goutte-à-goutte,False
2021-10-31,1,tomates,758.3095257329086,aspersion,True
2021-11-30,1,oliviers,1748.6269157465863,aspersion,True
2021-12-31,1,oliviers,881.1476245470116,goutte-à-goutte,True
2022-01-31,1,oliviers,1298.6231512214074,goutte-à-goutte,True
2022-02-28,1,amandiers,870.4170029895926,aucune,True
2022-03-31,1,poivrons,1169.1345320149378,goutte-à-goutte,False
2022-04-30,1,oliviers,1523.4250162276608,goutte-à-goutte,True
2022-05-31,1,oliviers,1385.961531494568,goutte-à-goutte,False
2022-06-30,1,figuiers,870.6553670658831,aucune,True
2022-07-31,1,oliviers,1285.1264675339337,aspersion,True
2022-08-31,1,oliviers,972.1480404591364,aspersion,False
2022-09-30,1,amandiers,1116.622755294172,aucune,True
2022-10-31,1,amandiers,681.2667660599418,goutte-à-goutte,False
