date,field_id,crop_type,yield,irrigation,fertilizer_used,age_plantation
2020-01-31,1,pistachiers,542.267626568451,goutte-à-goutte,False,1
2020-02-29,1,pistachiers,572.1922132345927,aucune,True,1
2020-03-31,1,pistachiers,466.2221915389298,goutte-à-goutte,True,1
2020-04-30,1,pistachiers,617.3281236014311,goutte-à-goutte,True,1
2020-05-31,1,pistachiers,537.9071299940755,aspersion,False,1
2020-06-30,1,pistachiers,558.4495593424575,goutte-à-goutte,True,1
2020-07-31,1,pistachiers,687.4254341988982,aspersion,True,1
2020-08-31,1,pistachiers,686.353862948382,aspersion,True,1
2020-09-30,1,pistachiers,566.8335883554382,goutte-à-goutte,True,1
2020-10-31,1,pistachiers,333.7774343719108,goutte-à-goutte,True,1
2020-11-30,1,pistachiers,343.86161115009884,goutte-à-goutte,True,1
2020-12-31,1,pistachiers,750.5167179264497,goutte-à-goutte,True,1
2021-01-31,1,pistachiers,602.9892265682038,goutte-à-goutte,True,1
2021-02-28,1,pistachiers,589.6149561462943,aucune,True,1
2021-03-31,1,pistachiers,622.3253257709242,aspersion,False,1
2021-04-30,1,pistachiers,565.3527086739557,goutte-à-goutte,True,1
2021-05-31,1,pistachiers,547.880957298623,aspersion,True,1
2021-06-30,1,pistachiers,562.8037423715695,aspersion,False,1
2021-07-31,1,pistachiers,510.9498154989705,goutte-à-goutte,False,1
2021-08-31,1,pistachiers,819.2011215843623,goutte-à-goutte,True,1
2021-09-30,1,pistachiers,427.33289879457556,goutte-à-goutte,True,1
2021-10-31,1,pistachiers,729.2834977302798,aucune,True,1
2021-11-30,1,pistachiers,576.2150418683731,goutte-à-goutte,True,1
2021-12-31,1,pistachiers,685.100923021736,aucune,True,1
2022-01-31,1,pistachiers,635.4044991353028,goutte-à-goutte,True,1
2022-02-28,1,pistachiers,722.2814717382549,aucune,True,1
2022-03-31,1,pistachiers,437.4505839106225,aucune,True,1
2022-04-30,1,pistachiers,872.0661856031417,goutte-à-goutte,True,1
2022-05-31,1,pistachiers,758.7120810471039,goutte-à-goutte,True,1
2022-06-30,1,pistachiers,631.7917479947567,aucune,False,1
2022-07-31,1,pistachiers,786.8224414346039,goutte-à-goutte,True,1
2022-08-31,1,pistachiers,493.86206362662597,goutte-à-goutte,False,1
2022-09-30,1,pistachiers,467.23616441292455,goutte-à-goutte,True,1
2022-10-31,1,pistachiers,525.2742101118874,goutte-à-goutte,True,1
2022-11-30,1,pistachiers,566.081085239588,goutte-à-goutte,False,1
2022-12-31,1,pistachiers,839.3247489722307,goutte-à-goutte,True,1
2023-01-31,1,pistachiers,516.7251258183666,aucune,False,1
2023-02-28,1,pistachiers,720.3181281454162,goutte-à-goutte,True,1
2023-03-31,1,pistachiers,940.4800317115098,goutte-à-goutte,True,1
2023-04-30,1,pistachiers,432.30781821403616,goutte-à-goutte,True,1
2023-05-31,1,pistachiers,745.7071279056295,goutte-à-goutte,True,1
2023-06-30,1,pistachiers,606.822715776429,aspersion,True,1
2023-07-31,1,pistachiers,528.7929702977327,aspersion,True,1
2023-08-31,1,pistachiers,804.2143644438542,goutte-à-goutte,False,1
2023-09-30,1,pistachiers,467.1564157648686,goutte-à-goutte,True,1
2023-10-31,1,pistachiers,534.0930364698393,goutte-à-goutte,True,1
2023-11-30,1,pistachiers,488.45589940146476,goutte-à-goutte,True,1
2023-12-31,1,pistachiers,688.9643162883383,aspersion,True,1
2020-01-31,2,oliviers,1121.169217957296,aucune,False,23
2020-02-29,2,oliviers,1467.8357394149846,aucune,True,35
2020-03-31,2,oliviers,1285.551366886726,goutte-à-goutte,True,35
2020-04-30,2,oliviers,1516.227456646337,goutte-à-goutte,False,24
2020-05-31,2,oliviers,1336.2113832937964,goutte-à-goutte,True,23
2020-06-30,2,oliviers,1255.2693165509745,aspersion,True,7
2020-07-31,2,oliviers,1389.905932979128,goutte-à-goutte,True,3
2020-08-31,2,oliviers,1162.6643052811564,aucune,False,29
2020-09-30,2,oliviers,1347.7734021694657,goutte-à-goutte,False,48
2020-10-31,2,oliviers,1007.6358576602854,aucune,True,28
2020-11-30,2,oliviers,1239.4191891307507,aspersion,False,16
2020-12-31,2,oliviers,1246.1129055973877,goutte-à-goutte,True,43
2021-01-31,2,oliviers,636.5874860284079,aspersion,True,46
2021-02-28,2,oliviers,1319.8141932799786,aspersion,True,40
2021-03-31,2,oliviers,804.5077422959522,aspersion,True,1
2021-04-30,2,oliviers,552.2408426292803,goutte-à-goutte,True,37
2021-05-31,2,oliviers,1020.0777752805666,goutte-à-goutte,False,48
2021-06-30,2,oliviers,1167.370491051971,goutte-à-goutte,True,27
2021-07-31,2,oliviers,1319.6194241168669,goutte-à-goutte,True,5
2021-08-31,2,oliviers,1453.5183547974073,aspersion,True,10
2021-09-30,2,oliviers,1347.4838369782672,aspersion,True,18
2021-10-31,2,oliviers,1009.19700752005,aspersion,True,8
2021-11-30,2,oliviers,638.6548630815582,goutte-à-goutte,False,40
2021-12-31,2,oliviers,605.2960599129303,aucune,True,2
2022-01-31,2,oliviers,1340.603561237374,goutte-à-goutte,False,8
2022-02-28,2,oliviers,1158.0938535093492,goutte-à-goutte,False,14
2022-03-31,2,oliviers,1493.1555588714841,goutte-à-goutte,True,18
2022-04-30,2,oliviers,1653.357630122346,goutte-à-goutte,True,43
2022-05-31,2,oliviers,472.1606478778938,aspersion,True,46
2022-06-30,2,oliviers,582.6100725646439,aspersion,False,2
2022-07-31,2,oliviers,1207.5728874970218,goutte-à-goutte,True,13
2022-08-31,2,oliviers,1397.7751483429365,aspersion,True,48
2022-09-30,2,oliviers,1083.3896147553298,goutte-à-goutte,True,17
2022-10-31,2,oliviers,1790.378998226798,aspersion,False,38
2022-11-30,2,oliviers,1215.8796374246592,aspersion,True,32
2022-12-31,2,oliviers,1292.8912229399975,goutte-à-goutte,True,32
2023-01-31,2,oliviers,794.4992217842441,aspersion,False,12
2023-02-28,2,oliviers,1577.2346851971906,goutte-à-goutte,True,12
2023-03-31,2,oliviers,1370.5588691707092,aucune,True,32
2023-04-30,2,oliviers,1357.382427822843,goutte-à-goutte,False,14
2023-05-31,2,oliviers,1045.7219406231877,aspersion,False,8
2023-06-30,2,oliviers,1158.3381217096971,goutte-à-goutte,True,23
2023-07-31,2,oliviers,1165.7782063696957,goutte-à-goutte,True,47
2023-08-31,2,oliviers,1432.4775079297706,aspersion,True,41
2023-09-30,2,oliviers,1144.0337052571217,goutte-à-goutte,False,14
2023-10-31,2,oliviers,1482.8241589641264,goutte-à-goutte,True,14
2023-11-30,2,oliviers,1273.6627347848084,goutte-à-goutte,True,5
2023-12-31,2,oliviers,1220.4324660116097,goutte-à-goutte,False,33
